purchase_date,category,sub_category,quantity,price,promo_code,total_price,sales_after_promo
2022-07-01,Fashion Pria,Hoodie  Pria,2,4999000,GRATIS_ONGKIR,9998000,9993000
2022-07-01,Electronics,Laser Pointer,3,48000,GRATIS_ONGKIR,144000,139000
2022-07-01,Make-up,Setting Spray,2,157500,AWAL_GAJIAN,315000,300000
2022-07-01,Make-up,Face Primer,3,51480,GRATIS_ONGKIR,154440,149440
2022-07-01,Fashion Wanita,Kimono Outer Wanita,2,750000,GRATIS_ONGKIR,1500000,1495000
2022-07-01,Kitchen Equipment,Pompa Galon,1,79900,NOT_USED,79900,
2022-07-01,Electronics,Kartu RFID,1,1670,NOT_USED,1670,
2022-07-01,Fashion Wanita,Jaket Parka Wanita,3,129270,AWAL_GAJIAN,387810,372810
2022-07-01,Fashion Pria,Jaket Pria,1,185000,NOT_USED,185000,
2022-07-01,Medicine,Obat Alergi,3,33343,AWAL_GAJIAN,100029,85029
2022-07-01,Kitchen Equipment,Water Purifier,3,5800,NOT_USED,17400,
2022-07-01,Make-up,Cushion,1,189000,NOT_USED,189000,
2022-07-01,Medicine,Obat Diabetes,2,275000,NOT_USED,550000,
2022-07-01,Fashion Wanita,Kimono Outer Wanita,2,750000,AWAL_GAJIAN,1500000,1485000
2022-07-01,Electronics,Kartu RFID,2,1690,NOT_USED,3380,
2022-07-01,Medicine,Obat Lainnya,2,52000,GRATIS_ONGKIR,104000,99000
2022-07-01,Fashion Pria,Hoodie  Pria,3,4999000,AWAL_GAJIAN,14997000,14982000
2022-07-01,Electronics,Mesin Penghancur Kertas,1,231000,AWAL_GAJIAN,231000,216000
2022-07-01,Fashion Pria,Jaket Pria,3,89000,NOT_USED,267000,
2022-07-01,Make-up,Cushion,1,98750,NOT_USED,98750,
2022-07-01,Electronics,LED Proyektor,3,2920000,NOT_USED,8760000,
2022-07-01,Electronics,Laser Pointer,1,159000,GRATIS_ONGKIR,159000,154000
2022-07-01,Kitchen Equipment,Timbangan Dapur,2,55000,GRATIS_ONGKIR,110000,105000
2022-07-01,Medicine,Obat Pencernaan & Penyakit Lainnya,1,145000,AWAL_GAJIAN,145000,130000
2022-07-01,Kitchen Equipment,Regulator & Penghemat Gas,3,64000,AWAL_GAJIAN,192000,177000
2022-07-01,Make-up,Foundation,2,99000,NOT_USED,198000,
2022-07-02,Fashion Pria,Hoodie  Pria,1,229000,NOT_USED,229000,
2022-07-02,Medicine,Obat Sakit Kepala & Demam,1,24250,NOT_USED,24250,
2022-07-02,Fashion Pria,Jaket Pria,3,140000,GRATIS_ONGKIR,420000,415000
2022-07-02,Electronics,Mesin Absensi,2,19000,GRATIS_ONGKIR,38000,33000
2022-07-02,Make-up,Bedak Wajah,3,29640,NOT_USED,88920,
2022-07-02,Kitchen Equipment,Timbangan Dapur,1,199000,GRATIS_ONGKIR,199000,194000
2022-07-02,Electronics,Laser Pointer,2,18400,NOT_USED,36800,
2022-07-02,Kitchen Equipment,Timbangan Dapur,2,23200,GRATIS_ONGKIR,46400,41400
2022-07-02,Kitchen Equipment,Pompa Galon,3,79900,GRATIS_ONGKIR,239700,234700
2022-07-02,Fashion Wanita,Cardigan Wanita,2,44000,NOT_USED,88000,
2022-07-02,Fashion Wanita,Sweater Wanita,2,50500,NOT_USED,101000,
2022-07-02,Make-up,Face Primer,2,84150,NOT_USED,168300,
2022-07-02,Fashion Wanita,Jacket Wanita,3,62400,GRATIS_ONGKIR,187200,182200
2022-07-02,Fashion Pria,Jaket Pria,2,169000,GRATIS_ONGKIR,338000,333000
2022-07-02,Make-up,BB cream,2,19500,GRATIS_ONGKIR,39000,34000
2022-07-02,Medicine,Obat Sakit Kepala & Demam,3,8622,NOT_USED,25866,
2022-07-02,Fashion Wanita,Sweater Wanita,1,69000,GRATIS_ONGKIR,69000,64000
2022-07-02,Kitchen Equipment,Timbangan Dapur,2,57000,NOT_USED,114000,
2022-07-02,Fashion Pria,Jaket Pria,1,119900,NOT_USED,119900,
2022-07-02,Medicine,Obat Lainnya,3,9200,GRATIS_ONGKIR,27600,22600
2022-07-02,Fashion Wanita,Hoodie Wanita,2,97000,NOT_USED,194000,
2022-07-02,Medicine,Obat Lainnya,3,71700,NOT_USED,215100,
2022-07-03,Make-up,BB cream,1,19500,NOT_USED,19500,
2022-07-03,Medicine,Obat Sakit Kepala & Demam,3,67570,NOT_USED,202710,
2022-07-03,Make-up,Concealer & Color Corrector,2,45000,NOT_USED,90000,
2022-07-03,Fashion Wanita,Jacket Wanita,3,155000,GRATIS_ONGKIR,465000,460000
2022-07-03,Electronics,Kartu RFID,1,1670,GRATIS_ONGKIR,1670,-3330
2022-07-03,Make-up,Concealer & Color Corrector,2,139000,NOT_USED,278000,
2022-07-03,Make-up,Setting Spray,1,66900,NOT_USED,66900,
2022-07-03,Fashion Wanita,Jacket Wanita,1,60000,NOT_USED,60000,
2022-07-03,Kitchen Equipment,Pompa Galon,1,37990,GRATIS_ONGKIR,37990,32990
2022-07-03,Fashion Pria,Sweater Pria,3,76000,GRATIS_ONGKIR,228000,223000
2022-07-03,Electronics,Mesin Penghancur Kertas,1,490000,GRATIS_ONGKIR,490000,485000
2022-07-03,Medicine,Obat Herbal,3,275000,NOT_USED,825000,
2022-07-03,Kitchen Equipment,Alat Pembuka Kaleng,3,35000,NOT_USED,105000,
2022-07-03,Kitchen Equipment,Sarung Kulkas,2,155000,NOT_USED,310000,
2022-07-03,Fashion Pria,Jaket Pria,1,128000,NOT_USED,128000,
2022-07-03,Fashion Pria,Jaket Pria,2,185000,GRATIS_ONGKIR,370000,365000
2022-07-03,Electronics,Mesin Absensi,3,415000,GRATIS_ONGKIR,1245000,1240000
2022-07-03,Electronics,Mesin Penghancur Kertas,1,699000,GRATIS_ONGKIR,699000,694000
2022-07-03,Fashion Wanita,Sweater Wanita,2,50500,GRATIS_ONGKIR,101000,96000
2022-07-03,Medicine,Obat Pencernaan & Penyakit Lainnya,3,145000,GRATIS_ONGKIR,435000,430000
2022-07-03,Kitchen Equipment,Regulator & Penghemat Gas,3,109000,NOT_USED,327000,
2022-07-03,Fashion Wanita,Sweater Wanita,3,50500,NOT_USED,151500,
2022-07-03,Electronics,Mesin Penghancur Kertas,1,231000,NOT_USED,231000,
2022-07-03,Medicine,Obat Kulit,2,31000,GRATIS_ONGKIR,62000,57000
2022-07-03,Kitchen Equipment,Timbangan Dapur,1,30999,NOT_USED,30999,
2022-07-03,Fashion Pria,Jaket Pria,3,124900,GRATIS_ONGKIR,374700,369700
2022-07-04,Medicine,Obat Lainnya,2,52000,NOT_USED,104000,
2022-07-04,Kitchen Equipment,Timbangan Dapur,2,218000,NOT_USED,436000,
2022-07-04,Fashion Pria,Vest Pria,3,64900,NOT_USED,194700,
2022-07-04,Fashion Wanita,Jacket Wanita,1,130000,NOT_USED,130000,
2022-07-04,Fashion Pria,Jaket Pria,1,159000,GRATIS_ONGKIR,159000,154000
2022-07-04,Fashion Pria,Jaket Pria,3,125000,GRATIS_ONGKIR,375000,370000
2022-07-04,Fashion Pria,Coat Pria,2,193800,GRATIS_ONGKIR,387600,382600
2022-07-04,Kitchen Equipment,Pompa Galon,1,2380,NOT_USED,2380,
2022-07-04,Fashion Wanita,Blazer Wanita,2,65000,GRATIS_ONGKIR,130000,125000
2022-07-04,Electronics,Mesin Jilid,2,525,GRATIS_ONGKIR,1050,-3950
2022-07-04,Electronics,Kartu RFID,2,1670,GRATIS_ONGKIR,3340,-1660
2022-07-04,Medicine,Obat Herbal,3,84645,GRATIS_ONGKIR,253935,248935
2022-07-04,Kitchen Equipment,Rak Dapur,3,279000,NOT_USED,837000,
2022-07-04,Fashion Pria,Jaket Pria,2,130000,NOT_USED,260000,
